source,target
RPL10A,RPL14
RPL10A,SRPRB
RPL10A,EFTUD2
RPL10A,EIF1AX
RPL10A,EIF4E
ELP2,HIST2H3A
SRPRB,RPL14
MAPK8,HSPA8
MAPK8,CRK
MAPK8,MAP2K1
MAPK8,MAP2K3
MAPK8,HIST2H2BE
AGO4,AGO2
AGO4,NOTCH2
AGO4,CDK4
AGO4,TARBP2
AGO4,DICER1
AGO4,HIST2H2BE
AGO4,PHC3
AGO4,HIST2H3A
AGO4,TNRC6B
HIST2H2BE,POLR2E
HIST2H2BE,AGO2
HIST2H2BE,RIF1
HIST2H2BE,CDK4
HIST2H2BE,CBX4
HIST2H2BE,UBE2N
HIST2H2BE,JARID2
HIST2H2BE,CHD4
HIST2H2BE,GATAD2A
HIST2H2BE,PHC3
HIST2H2BE,HIST2H3A
HIST2H2BE,CBX6
MTOR,RPS6KB1
MTOR,YWHAH
MTOR,AKT3
MTOR,VEGFA
MTOR,EIF4E
OCRL,HSPA8
NCKAP1,CRK
NCKAP1,ABL2
GATAD2A,CHD4
STRADB,SIK1
ABL2,CRK
PHC3,CBX4
PHC3,CBX6
PHC3,TNRC6B
JARID2,HIST2H3A
CARM1,HIST2H3A
TNRC6B,AGO2
TNRC6B,NOTCH2
CBX4,HIST2H3A
CBX4,CBX6
RBBP6,CUL3
RBBP6,UBE2Q1
RBBP6,UBE2N
RBBP6,BTRC
RBBP6,ZBTB16
RBBP6,UBE2H
CCNT1,POLR2E
CCNT1,CDK4
CCNT1,CCND2
CCNT1,RPRD2
CCNT1,SMAD3
CCNT1,IKBKB
CCNT1,TAF13
UBE2Q1,CUL3
UBE2Q1,BTRC
UBE2Q1,ZNRF1
UBE2Q1,UBE2N
UBE2Q1,UBE2H
RAF1,YWHAH
RAF1,IGF1R
RAF1,MAP2K1
SMAD7,ACVR2A
SMAD7,USP15
SMAD7,SMAD3
SMAD7,PPP1CB
ZNRF1,UBE2N
ZNRF1,UBE2H
TAOK1,BUB3
TAOK1,MAP2K3
CPSF7,POLR2E
CPSF7,SNRPB2
CPSF7,POLDIP3
CPSF7,SRSF1
CPSF7,HNRNPA1
CPSF7,HNRNPA2B1
CPSF7,PLRG1
CPSF7,TRA2B
CPSF7,EFTUD2
CHD4,HIST2H3A
RPRD2,POLR2E
CBX6,HIST2H3A
YWHAH,CSNK1E
YWHAH,KPNA1
YWHAH,IGF1R
YWHAH,SIK1
YWHAH,MAP2K1
CSNK1E,CEP76
CSNK1E,PPP1CB
CSNK1E,AXIN2
CSNK1E,FCF1
CSNK1E,BTRC
BTRC,CUL3
BTRC,UBE2N
BTRC,ZBTB16
BTRC,UBE2H
BTRC,IKBKB
POLDIP3,RPS6KB1
POLDIP3,SRSF1
POLDIP3,NUP50
PPP1CB,STK38
PPP1CB,SSU72
PPP1CB,OGT
ARIH1,UBE2N
ITGA2,LAMC1
VEGFA,AKT3
VEGFA,IGF1R
VEGFA,CD2AP
TAF13,POLR2E
CCND2,CDK4
CCND2,IKBKB
CCND2,CCNE1
EFNB2,MAP2K1
LAMC1,SMAD3
STK38,OGT
EIF4E,AGO2
EIF4E,RPS6KB1
EIF4E,RPL14
EIF4E,NUP50
EIF4E,EIF1AX
RAD23B,UBE2N
HAUS3,CEP76
HSPA8,POLR2E
HSPA8,HNRNPA1
HSPA8,SRSF1
HSPA8,HNRNPA2B1
HSPA8,BAG4
HSPA8,PLRG1
HSPA8,DNAJA1
HSPA8,GRPEL2
HSPA8,NUP50
HSPA8,SNRPB2
HSPA8,SMAD3
HSPA8,DNAJC10
HSPA8,EFTUD2
OGT,FOXK1
UBE2N,RIF1
UBE2N,CUL3
UBE2N,ZBTB16
UBE2N,UBE2H
UBE2N,IKBKB
HNRNPA2B1,POLR2E
HNRNPA2B1,SNRPB2
HNRNPA2B1,SRSF1
HNRNPA2B1,HNRNPA1
HNRNPA2B1,TRA2B
HNRNPA2B1,EFTUD2
HNRNPA2B1,PLRG1
SNRPB2,POLR2E
SNRPB2,HNRNPA1
SNRPB2,SRSF1
SNRPB2,EFTUD2
SNRPB2,PLRG1
SNRPB2,TRA2B
TRA2B,SRSF1
TRA2B,HNRNPA1
TRA2B,EFTUD2
TRA2B,PLRG1
POLR2E,HIST2H3A
POLR2E,HNRNPA1
POLR2E,SRSF1
POLR2E,EFTUD2
POLR2E,PLRG1
EFTUD2,SRSF1
EFTUD2,HNRNPA1
EFTUD2,PLRG1
USP15,SMAD3
CRK,RPS6KB1
CRK,IGF1R
UBE2H,CUL3
UBE2H,ZBTB16
IGF1R,RPS6KB1
SMAD3,ACVR2A
SMAD3,CDK4
SMAD3,PPM1A
SMAD3,SKI
KPNA2,KPNA1
TARBP2,AGO2
TARBP2,DICER1
HNRNPA1,SRSF1
HNRNPA1,PLRG1
TGFBR3,ACVR2A
AGO2,HIST2H3A
AGO2,DICER1
AGO2,NUP50
AGO2,NOTCH2
ORC4,CCNE1
DNAJA1,HSPA1B
CCNE1,CDK4
GRPEL2,HSPA1B
CDK4,HIST2H3A
CDK4,IKBKB
PLRG1,SRSF1
ZBTB16,CUL3
RPL14,EIF1AX
KPNA1,NUP50
SRSF1,NUP50
