source,target
BRPF3,HDAC2
BRPF3,HIST2H3A
SRSF7,PQBP1
SRSF7,DDX5
SRSF7,SRSF9
SRSF7,CPSF3
SRSF7,SRSF6
SRSF7,SUGP1
SRSF7,HNRNPU
SRSF7,NUDT21
SRSF7,HNRNPD
SRSF7,CSTF3
SRSF7,DDX42
SRSF7,HNRNPA1
SRSF7,HNRNPH1
SRSF7,SRSF4
SRSF7,PTBP1
SRSF7,EFTUD2
SRSF7,SNRNP35
SRSF7,HNRNPA3
SRSF7,SRRM1
SRSF7,ZC3H11A
SRSF7,TRA2B
SRSF7,NUP50
SRSF6,PQBP1
SRSF6,DDX5
SRSF6,SRSF9
SRSF6,CPSF3
SRSF6,PTBP1
SRSF6,EFTUD2
SRSF6,SRRM1
SRSF6,ZC3H11A
SRSF6,HNRNPA1
SRSF6,NUDT21
SRSF6,HNRNPH1
SRSF6,SRSF4
SRSF6,SNRNP35
SRSF6,HNRNPU
SRSF6,HNRNPA3
SRSF6,TRA2B
SRSF6,SUGP1
SRSF6,CSTF3
SRSF6,DDX42
SRSF6,HNRNPD
SRSF6,NUP50
CDH13,CDH2
CDH13,JUP
YTHDC1,CSTF3
CDK4,SMARCC1
CDK4,CDK9
CDK4,ARID1A
CDK4,HIST2H2AC
CDK4,GTF2H1
CDK4,CDK14
CDK4,SMARCA2
CDK4,HIST2H3A
CDK4,HIST3H3
CDK4,SMARCB1
AXL,PIK3CA
SP1,PIK3CA
SP1,BAX
SP1,RPRD2
SP1,HDAC2
SP1,UTRN
SP1,CDK9
SP1,CEBPA
EIF4E,EIF4G1
EIF4E,NUP50
EIF4E,PTBP1
EIF4E,EIF1AX
EIF4E,SLBP
MYO18A,PIK3CA
JUP,CDH2
WDR33,CPSF3
WDR33,SYMPK
FLNC,ITGB4
MCM4,NCAPG
MCM4,ORC3
MCM4,RRM1
MCM4,POLA2
MCM4,MCM6
RAB5C,AP3B1
RAB5C,VAMP7
RAB5C,CLTC
RAB5C,PACSIN3
RAB5C,GAK
RAB5C,AP1B1
RAB5C,AP1S3
RAB5C,ARPC5
RAB5C,AP1M1
RAB5C,PICALM
GNA13,PIK3CA
GNA13,GNB2
GNA13,CDC42
GNA13,GNG5
TPM3,TPM1
TPM3,ACTC1
TPM3,TMOD3
TPM3,TPM4
TPM3,TPM2
TPM3,ACTA1
TPM3,ACTN1
AGRN,ITGA3
AGRN,ITGA1
AGRN,CDC42
AGRN,ACTA1
AGRN,UTRN
AGRN,SDC4
AGRN,CTTN
AGRN,ITGA6
PPP2R1B,PSMA7
PPP2R1B,PSME1
PPP2R1B,PPP2R2A
PPP2R1B,CDC42
GAK,AP3B1
GAK,VAMP7
GAK,CLTC
GAK,PACSIN3
GAK,AP1B1
GAK,AP1S3
GAK,AP1M1
GAK,ARPC5
GAK,PICALM
GAK,CTTN
GTF2H1,RFC2
GTF2H1,CDK14
GTF2H1,UBE2I
GTF2H1,UBTF
GTF2H1,CUL4B
GTF2H1,CDK9
GTF2H1,MDC1
GTF2H1,POLD1
GTF2H1,FANCI
GTF2H1,RFC5
F2RL1,PIK3CA
PSMA7,PSME1
SYNE1,LMNB1
SYNE1,UBE2I
SYNE1,HIST2H2AC
SYNE1,SYNE2
SMC4,NCAPG
SMC4,HIST2H2AC
SMC4,HIST3H3
SMC4,HIST2H3A
CD2AP,PIK3CA
CD2AP,VEGFA
YWHAZ,ITGB4
YWHAZ,LNPEP
YWHAZ,PIK3CA
YWHAZ,ITGA6
YWHAZ,PPP2R2A
YWHAZ,FN1
YWHAZ,RFC5
TPM2,TPM1
TPM2,ITGA1
TPM2,ACTC1
TPM2,TMOD3
TPM2,TPM4
TPM2,ACTA1
UTRN,ITGA1
UTRN,ACTA1
UTRN,CTTN
GNG5,KCNJ2
GNG5,GNB2
GNG5,GNAI2
GNG5,GNAI1
GNG5,GNAI3
CALM2,CAMK2G
CALM2,SCN3A
ITGA1,ITGA3
ITGA1,PIK3CA
ITGA1,TPM1
ITGA1,VEGFA
ITGA1,CDC42
VAMP7,AP3B1
VAMP7,AP1B1
VAMP7,SNAPIN
VAMP7,AP1M1
VAMP7,AP1S3
VAMP7,ARPC5
VAMP7,CLTC
VAMP7,PICALM
VAMP7,PACSIN3
VAMP7,CTTN
GNAI1,PIK3CA
GNAI1,GNB2
GNAI1,GNAI2
GNAI1,CDC42
GNAI1,GNAI3
CLTC,GJA1
CLTC,KIF4A
CLTC,AP1S3
CLTC,ARPC5
CLTC,AP1M1
CLTC,PICALM
CLTC,PACSIN3
CLTC,CTTN
CLTC,AP1B1
MSH2,POLD1
MSH2,MSH6
ACTA1,PIK3CA
ACTA1,CAPN1
ACTA1,CDC42
ACTA1,GATA4
ACTA1,VEGFA
ACTA1,ACTN1
ACTA1,CAST
ACTA1,CTTN
CTBP2,CTBP1
CTBP2,HDAC2
RBBP5,HIST2H3A
RBBP5,HIST3H3
RBBP5,ASH2L
RBBP5,HIST2H2AC
RBBP5,CTBP1
HIST3H3,LMNB1
HIST3H3,UBE2I
HIST3H3,MRE11
HIST3H3,HIST2H2AC
HIST3H3,ASH2L
HIST3H3,MDC1
COPB1,KIF4A
COPB1,COPG1
COPB1,ARCN1
COPB1,KDELR1
COPB1,KIF5B
EHMT2,SMARCA2
EHMT2,UBTF
EHMT2,CXCL8
EHMT2,HIST2H2AC
EHMT2,HIST2H3A
EHMT2,HDAC2
PIK3CA,ITGB4
PIK3CA,ACTN1
PIK3CA,CDH2
PIK3CA,CAPN1
PIK3CA,CRK
PIK3CA,ITGA6
PIK3CA,BAG4
PIK3CA,MET
PIK3CA,FGFR2
PIK3CA,VEGFA
PIK3CA,CDC42
ELP1,CDK9
ELP1,HIST2H3A
CSTF3,PQBP1
CSTF3,DDX5
CSTF3,SRSF9
CSTF3,CPSF3
CSTF3,SYMPK
CSTF3,NUDT21
CSTF3,HNRNPD
CSTF3,DDX42
CSTF3,HNRNPA1
CSTF3,HNRNPH1
CSTF3,SRSF4
CSTF3,PTBP1
CSTF3,EFTUD2
CSTF3,HNRNPA3
CSTF3,SRRM1
ARHGEF18,CDC42
CXCL8,VEGFA
CXCL8,HIST2H3A
CXCL8,GNAI2
CXCL8,HIST2H2AC
AP1B1,AP3B1
AP1B1,AP1M1
AP1B1,AP1S3
AP1B1,PICALM
DDX5,PQBP1
DDX5,DDX42
DDX5,HNRNPD
DDX5,SRSF9
DDX5,PTBP1
DDX5,EFTUD2
DDX5,HNRNPA1
DDX5,NUDT21
DDX5,HNRNPH1
DDX5,SRSF4
DDX5,SRRM1
DDX5,CPSF3
DDX5,TRA2B
DDX5,SUGP1
DDX5,HNRNPU
DDX5,HNRNPA3
AP1M1,AP3B1
AP1M1,PICALM
AP1M1,AP1S3
FANCI,CDK9
FANCI,RFC5
CAMK2G,MEF2A
THBS1,ITGA3
THBS1,VEGFA
THBS1,ACTN1
THBS1,LGALS3BP
THBS1,ITGA6
THBS1,SDC4
THBS1,ADAMTSL4
THBS1,FN1
MEF2A,CDH2
MEF2A,CDC42
MEF2A,GATA4
PLS3,ACTB
GATA4,SRF
GATA4,HAND2
KDELR1,ARCN1
KDELR1,COPG1
SRSF9,PQBP1
SRSF9,TRA2B
SRSF9,SUGP1
SRSF9,HNRNPA1
SRSF9,NUDT21
SRSF9,HNRNPH1
SRSF9,SRSF4
SRSF9,DDX42
SRSF9,HNRNPD
SRSF9,PTBP1
SRSF9,EFTUD2
SRSF9,SRRM1
SRSF9,NUP50
SRSF9,CPSF3
SRSF9,HNRNPU
SRSF9,HNRNPA3
H3F3B,HIST2H2AC
PLXNB2,SEMA4D
SMARCA1,SMARCC1
TRA2B,HNRNPU
TRA2B,NUDT21
TRA2B,HNRNPD
TRA2B,SRRM1
TRA2B,HNRNPA1
TRA2B,HNRNPH1
TRA2B,PTBP1
TRA2B,SRSF4
TRA2B,DDX42
TRA2B,HNRNPA3
TRA2B,EFTUD2
SRF,HDAC4
SRF,MYOCD
AP1S3,AP3B1
AP1S3,PICALM
PARVA,LIMS1
HDAC2,HDAC4
HDAC2,SMARCA2
HDAC2,CTBP1
