source,target
DDX5,PQBP1
DDX5,DDX42
DDX5,HNRNPD
DDX5,SRSF9
DDX5,PTBP1
DDX5,EFTUD2
DDX5,SRSF6
DDX5,HNRNPA1
DDX5,NUDT21
DDX5,HNRNPH1
DDX5,SRSF4
DDX5,SRSF7
DDX5,SRRM1
DDX5,PRPF40A
DDX5,CPSF3
DDX5,TRA2B
DDX5,SUGP1
DDX5,HNRNPU
DDX5,HNRNPA3
DDX5,CSTF3
GNAI3,GNB2
GNAI3,GNAI2
GNAI3,CDC42
GNAI3,GNAI1
GNAI3,GNG5
AP1S3,AP3B1
AP1S3,VAMP7
AP1S3,CLTC
AP1S3,GAK
AP1S3,RAB5C
AP1S3,AP1B1
AP1S3,PICALM
AP1S3,AP1M1
PQBP1,DDX42
PQBP1,SRSF6
PQBP1,HNRNPA1
PQBP1,HNRNPD
PQBP1,NUDT21
PQBP1,HNRNPH1
PQBP1,SRSF4
PQBP1,SRSF7
PQBP1,SRSF9
PQBP1,EFTUD2
PQBP1,HNRNPU
PQBP1,HNRNPA3
PQBP1,SRRM1
PQBP1,PRPF40A
PQBP1,SUGP1
PQBP1,CPSF3
PQBP1,CSTF3
HNRNPA3,SRSF9
HNRNPA3,CPSF3
HNRNPA3,SRSF6
HNRNPA3,SUGP1
HNRNPA3,HNRNPU
HNRNPA3,NUDT21
HNRNPA3,HNRNPD
HNRNPA3,CSTF3
HNRNPA3,SRSF7
HNRNPA3,SRRM1
HNRNPA3,HNRNPA1
HNRNPA3,HNRNPH1
HNRNPA3,PTBP1
HNRNPA3,SRSF4
HNRNPA3,DDX42
HNRNPA3,TRA2B
HNRNPA3,EFTUD2
HNRNPA3,PRPF40A
HIST2H2AC,H3F3B
HIST2H2AC,CDK4
HIST2H2AC,LMNB1
HIST2H2AC,RBBP5
HIST2H2AC,UBTF
HIST2H2AC,CXCL8
HIST2H2AC,RSF1
HIST2H2AC,UBE2I
HIST2H2AC,MRE11
HIST2H2AC,HDAC2
HIST2H2AC,TNRC6B
HIST2H2AC,TCF7L2
HIST2H2AC,SIN3A
HIST2H2AC,ASH2L
HIST2H2AC,EHMT2
HIST2H2AC,HIST2H3A
HIST2H2AC,SYNE2
HIST2H2AC,SYNE1
HIST2H2AC,ACTB
HIST2H2AC,HIST3H3
HIST2H2AC,SMC4
POLD1,RFC2
POLD1,MSH2
POLD1,MSH6
POLD1,POLA2
POLD1,GTF2H1
POLD1,MRE11
POLD1,CUL4B
POLD1,RFC5
WDR33,CPSF3
WDR33,SYMPK
PSMA7,RPN2
PSMA7,PPP2R1B
PSMA7,UCHL5
PSMA7,PSME1
YWHAZ,ITGB4
YWHAZ,LNPEP
YWHAZ,PIK3CA
YWHAZ,ITGA6
YWHAZ,PPP2R2A
YWHAZ,FN1
YWHAZ,RFC5
CEBPA,SMARCA2
CEBPA,SP1
F2RL1,PIK3CA
TNRC6B,NOTCH2
TNRC6B,SP1
BAX,SP1
ACTN1,ITGB4
ACTN1,THBS1
ACTN1,LGALS3BP
ACTN1,PIK3CA
ACTN1,TPM1
ACTN1,CAPN1
ACTN1,FN1
ACTN1,ACTB
ACTN1,ACTA1
ACTN1,TPM3
ACTN1,VEGFA
ACTN1,SDC4
ACTN1,LIMS1
KIF5B,COPB1
KIF5B,ARCN1
KIF5B,CDH2
KIF5B,KIF4A
KIF5B,CDC42
KIF5B,COPG1
SUGP1,SRSF9
SUGP1,CPSF3
SUGP1,SRSF6
SUGP1,SRSF7
SUGP1,SRSF4
SUGP1,DDX42
SUGP1,HNRNPA1
SUGP1,NUDT21
SUGP1,HNRNPD
SUGP1,HNRNPH1
SUGP1,PTBP1
SUGP1,EFTUD2
SUGP1,SRRM1
SUGP1,PRPF40A
SNAPIN,AP3B1
SNAPIN,VAMP7
SNAPIN,PICALM
EMD,LMNB1
EMD,LEMD3
EMD,SYNE2
TNKS1BP1,EIF4G1
LEMD3,LMNB1
GJA1,CLTC
GJA1,CDH2
LMNB1,UBE2I
LMNB1,SYNE2
LMNB1,SYNE1
LMNB1,HIST3H3
CDH13,CDH2
CDH13,JUP
YTHDC1,CSTF3
GTF2H1,RFC2
GTF2H1,CDK4
GTF2H1,CDK14
GTF2H1,UBE2I
GTF2H1,UBTF
GTF2H1,CUL4B
GTF2H1,CDK9
GTF2H1,MDC1
GTF2H1,FANCI
GTF2H1,RFC5
SMC4,NCAPG
SMC4,HIST3H3
SMC4,HIST2H3A
ARID1A,SMARCC1
ARID1A,CDK4
ARID1A,SMARCB1
ARID1A,SMARCA2
ARID1A,ACTB
CTTN,VAMP7
CTTN,CLTC
CTTN,PACSIN3
CTTN,CDC42
CTTN,GAK
CTTN,ARPC5
CTTN,ACTA1
CTTN,UTRN
CTTN,PICALM
CTTN,AGRN
AXL,PIK3CA
RPRD2,SP1
RPRD2,CDK9
CDK9,CDK4
CDK9,CDK14
CDK9,FANCI
CDK9,SP1
CDK9,ELP1
CDK9,MDC1
GNAI1,PIK3CA
GNAI1,GNB2
GNAI1,GNAI2
GNAI1,CDC42
GNAI1,GNG5
ZC3H11A,CPSF3
ZC3H11A,SRSF6
ZC3H11A,NUDT21
ZC3H11A,SRSF7
ZC3H11A,SRRM1
ZC3H11A,SRSF4
ZC3H11A,NUP50
SLBP,NUP50
SLBP,EIF4E
SRP19,SSR1
SRRM1,SRSF9
SRRM1,CPSF3
SRRM1,SRSF6
SRRM1,HNRNPU
SRRM1,NUDT21
SRRM1,HNRNPD
SRRM1,CSTF3
SRRM1,SRSF7
SRRM1,NUP50
SRRM1,DDX42
SRRM1,HNRNPA1
SRRM1,SRSF4
SRRM1,HNRNPH1
SRRM1,PTBP1
SRRM1,EFTUD2
SRRM1,TRA2B
SRRM1,PRPF40A
RBBP5,HIST2H3A
RBBP5,TCF7L2
RBBP5,HIST3H3
RBBP5,ASH2L
RBBP5,CTBP1
IPO8,HIST2H3A
IPO8,NUP50
EHMT2,SMARCA2
EHMT2,UBTF
EHMT2,CXCL8
EHMT2,HIST2H3A
EHMT2,HDAC2
PACSIN3,VAMP7
PACSIN3,CLTC
PACSIN3,GAK
PACSIN3,RAB5C
PACSIN3,PICALM
PPP2R1B,PSME1
PPP2R1B,PPP2R2A
PPP2R1B,CDC42
SDC4,THBS1
SDC4,FZD7
SDC4,FN1
SDC4,AGRN
CTBP1,MRE11
CTBP1,TCF7L2
CTBP1,SIN3A
CTBP1,CTBP2
CTBP1,HDAC2
SNRNP35,SRSF6
SNRNP35,SRSF7
SNRNP35,DDX42
SNRNP35,EFTUD2
PAX3,MET
MSH2,MSH6
GNG5,KCNJ2
GNG5,GNB2
GNG5,GNAI2
GNG5,GNA13
GAK,AP3B1
GAK,VAMP7
GAK,CLTC
GAK,AP1B1
GAK,AP1M1
GAK,ARPC5
GAK,PICALM
GAK,RAB5C
ARHGEF18,CDC42
NOTCH3,NOTCH2
VAMP7,AP3B1
VAMP7,AP1B1
VAMP7,RAB5C
VAMP7,AP1M1
VAMP7,ARPC5
VAMP7,CLTC
VAMP7,PICALM
VEGFA,THBS1
VEGFA,LGALS3BP
VEGFA,PIK3CA
VEGFA,NRP1
VEGFA,ITGA1
VEGFA,CXCL8
VEGFA,MET
VEGFA,FN1
VEGFA,CD2AP
VEGFA,ACTA1
VEGFA,HIF3A
VEGFA,FGFR2
RRM1,MCM4
RRM1,MCM6
RRM1,POLA2
GNA13,PIK3CA
GNA13,GNB2
GNA13,CDC42
SYNE2,UBE2I
SYNE2,SYNE1
CLTC,KIF4A
CLTC,RAB5C
CLTC,ARPC5
CLTC,AP1M1
CLTC,PICALM
CLTC,AP1B1
CALM2,CAMK2G
CALM2,SCN3A
CXCL8,HIST2H3A
CXCL8,GNAI2
CXCL8,TCF7L2
CAST,ACTA1
PIK3CA,ITGB4
PIK3CA,MYO18A
PIK3CA,CD2AP
PIK3CA,ITGA1
PIK3CA,ACTA1
PIK3CA,CDH2
PIK3CA,CAPN1
PIK3CA,CRK
PIK3CA,ITGA6
PIK3CA,BAG4
PIK3CA,MET
PIK3CA,FGFR2
PIK3CA,CDC42
PIK3CA,SP1
THBS1,ITGA3
THBS1,LGALS3BP
THBS1,ITGA6
THBS1,ADAMTSL4
THBS1,FN1
MYOCD,SRF
PRPF40A,SRSF9
PRPF40A,CPSF3
PRPF40A,SRSF6
PRPF40A,HNRNPU
PRPF40A,NUDT21
PRPF40A,HNRNPD
PRPF40A,CSTF3
PRPF40A,SRSF7
PRPF40A,HNRNPA1
PRPF40A,HNRNPH1
PRPF40A,PTBP1
PRPF40A,SRSF4
PRPF40A,DDX42
