source,target
CCND2,CDK4
CCND2,IKBKB
CCND2,CCNT1
CCND2,CCNE1
CDK4,CCNT1
CDK4,HIST2H3A
CDK4,SMAD3
CDK4,HIST2H2BE
CDK4,IKBKB
CDK4,AGO4
CDK4,CCNE1
EIF4E,AGO2
EIF4E,RPS6KB1
EIF4E,RPL14
EIF4E,NUP50
EIF4E,MTOR
EIF4E,EIF1AX
AGO2,TNRC6B
AGO2,HIST2H3A
AGO2,TARBP2
AGO2,HIST2H2BE
AGO2,AGO4
AGO2,DICER1
AGO2,NUP50
AGO2,NOTCH2
NCKAP1,CRK
NCKAP1,ABL2
CUL3,UBE2Q1
CUL3,UBE2H
CUL3,ZBTB16
CUL3,RBBP6
CUL3,BTRC
USP15,SMAD3
USP15,SMAD7
MTOR,RPS6KB1
MTOR,YWHAH
MTOR,AKT3
MTOR,VEGFA
RBBP6,UBE2Q1
RBBP6,BTRC
RBBP6,ZBTB16
RBBP6,UBE2H
IKBKB,CCNT1
IKBKB,BTRC
CD2AP,VEGFA
HSPA1B,DNAJA1
ORC4,CCNE1
UBE2Q1,BTRC
UBE2Q1,ZNRF1
UBE2Q1,UBE2H
HIST2H2BE,POLR2E
HIST2H2BE,RIF1
HIST2H2BE,CBX4
HIST2H2BE,JARID2
HIST2H2BE,GATAD2A
HIST2H2BE,PHC3
HIST2H2BE,HIST2H3A
HIST2H2BE,AGO4
HIST2H2BE,CBX6
SIK1,STRADB
SIK1,YWHAH
AKT3,VEGFA
OCRL,HSPA8
CCNT1,POLR2E
CCNT1,RPRD2
CCNT1,SMAD3
CCNT1,TAF13
HIST2H3A,POLR2E
HIST2H3A,CBX4
HIST2H3A,CARM1
HIST2H3A,JARID2
HIST2H3A,AGO4
HIST2H3A,CBX6
ABL2,CRK
YWHAH,CSNK1E
YWHAH,KPNA1
YWHAH,IGF1R
YWHAH,RAF1
YWHAH,MAP2K1
POLR2E,HNRNPA1
POLR2E,SRSF1
POLR2E,EFTUD2
POLR2E,TAF13
POLR2E,HNRNPA2B1
POLR2E,HSPA8
POLR2E,RPRD2
POLR2E,PLRG1
POLR2E,CPSF7
POLR2E,SNRPB2
ZNRF1,UBE2H
CRK,RPS6KB1
CRK,IGF1R
PLRG1,HSPA8
PLRG1,SNRPB2
PLRG1,SRSF1
PLRG1,HNRNPA1
PLRG1,CPSF7
PLRG1,HNRNPA2B1
PLRG1,EFTUD2
DNAJA1,HSPA8
RPL14,SRPRB
RPL14,EIF1AX
POLDIP3,RPS6KB1
POLDIP3,SRSF1
POLDIP3,CPSF7
POLDIP3,NUP50
SMAD7,ACVR2A
SMAD7,SMAD3
RPS6KB1,IGF1R
CBX4,PHC3
CBX4,CBX6
UBE2H,ZBTB16
UBE2H,BTRC
NUP50,HSPA8
NUP50,SRSF1
NUP50,KPNA1
HNRNPA1,HSPA8
HNRNPA1,SNRPB2
HNRNPA1,SRSF1
HNRNPA1,CPSF7
HNRNPA1,EFTUD2
HNRNPA1,HNRNPA2B1
CPSF7,SNRPB2
CPSF7,SRSF1
CPSF7,HNRNPA2B1
CPSF7,EFTUD2
EFTUD2,HSPA8
EFTUD2,SNRPB2
EFTUD2,SRSF1
EFTUD2,HNRNPA2B1
HSPA8,SRSF1
HSPA8,HNRNPA2B1
HSPA8,BAG4
HSPA8,SNRPB2
HSPA8,SMAD3
HSPA8,DNAJC10
MAP2K1,EFNB2
MAP2K1,RAF1
ZBTB16,BTRC
IGF1R,RAF1
IGF1R,VEGFA
TARBP2,DICER1
TARBP2,AGO4
DICER1,AGO4
CSNK1E,AXIN2
CSNK1E,FCF1
CSNK1E,BTRC
AGO4,NOTCH2
AGO4,PHC3
AGO4,TNRC6B
TGFBR3,ACVR2A
NOTCH2,TNRC6B
PHC3,CBX6
PHC3,TNRC6B
LAMC1,ITGA2
LAMC1,SMAD3
SMAD3,ACVR2A
SMAD3,PPM1A
SMAD3,SKI
SNRPB2,SRSF1
SNRPB2,HNRNPA2B1
HNRNPA2B1,SRSF1
