source,target
MTMR3,PIP4K2C
MTMR3,PIP4K2A
FBXO31,FBXO21
FBXO21,KLHL20
FBXO21,UBOX5
FBXO21,UBE2L3
FBXO21,UBE3B
ZNF143,RPRD2
ZNF143,TAF8
ZNF143,POLR3F
ZNF143,CRCP
ZNF143,TAF6
GBP3,IRF1
GBP3,B2M
UBC,KLHL20
UBC,NFKBIA
UBC,UBOX5
UBC,WASL
UBC,HSPA8
UBC,MFN2
UBC,EPS15L1
UBC,TSG101
UBC,UBE2M
UBC,RLIM
UBC,KLB
UBC,REV1
UBC,PSMD11
UBC,ANAPC5
UBC,SMAD7
UBC,VAMP7
UBC,KAT2B
UBC,ASB1
UBC,VDAC1
UBC,USP21
UBC,UBR1
UBC,ASB16
UBC,ARPC2
UBC,CXCL8
UBC,TADA2B
UBC,CYLD
UBC,DVL3
UBC,UBE2O
UBC,FOXK1
UBC,USP16
UBC,FOXK2
UBC,HIP1
UBC,UBE3B
UBC,SMAD4
UBC,DYRK2
UBC,HIST1H2BJ
UBC,UBE2L3
UBC,TRIM32
UBC,FAAP24
UBC,RFC3
UBC,SKI
UBC,LDLR
UBC,SNX9
UBC,HIST3H2A
UBC,CSNK1A1
UBC,FCHO2
UBC,ARHGEF7
UBC,REV3L
UBC,RAB5B
UBC,AP2A2
UBC,ITCH
UBC,NSD2
UBC,CDC16
UBC,RPA2
UBC,GTF2H3
UBC,OCRL
UBC,HIST2H3A
UBC,CRY2
YWHAZ,PPP3R1
YWHAZ,RAB10
YWHAZ,SIK1
YWHAZ,RFC3
YWHAZ,CSNK1A1
YWHAZ,SLC2A4
YWHAZ,RAPGEF4
YWHAZ,RPA2
RPL27,SPCS1
RPL27,EIF2S1
RPL27,UPF1
RPL27,RPL14
RPL27,RPL9
RPL27,RPL30
RPL27,EIF4A2
RPL27,ETF1
RPL27,RPL17
RPA2,REV1
RPA2,HIST1H2BJ
RPA2,REV3L
RPA2,FAAP24
RPA2,RFC3
RPA2,GTF2H3
TAF4,KAT2B
TAF4,TAF6
TAF4,TAF8
CDC16,KLHL20
CDC16,UBOX5
CDC16,UBE2M
CDC16,RLIM
CDC16,PSMD11
CDC16,ANAPC5
CDC16,ASB1
CDC16,UBR1
CDC16,ASB16
CDC16,UBE3B
CDC16,HIST1H2BJ
CDC16,UBE2L3
CDC16,UNKL
CDC16,ITCH
CDC16,PHC3
CDC16,HIST2H3A
PDPK1,NFKBIA
PDPK1,SMAD7
PDPK1,JAK1
DCTN1,KIF23
DCTN1,SPTBN1
DCTN1,BICD2
DCTN1,GOLGA2
DCTN1,DCTN4
DCTN1,GBF1
DCTN1,PAFAH1B1
CRCP,POLR3F
BICD2,DCTN4
BICD2,PAFAH1B1
CEP57,CCP110
VAMP7,M6PR
VAMP7,WASL
VAMP7,HSPA8
VAMP7,GNS
VAMP7,LDLR
VAMP7,SNX9
VAMP7,FCHO2
VAMP7,RAB5B
VAMP7,TGOLN2
VAMP7,ARPC2
VAMP7,AP2A2
VAMP7,SNAPIN
VAMP7,OCRL
VAMP7,HIP1
VAMP7,STX16
VAMP7,VTI1A
VAMP7,AP1G1
VPS53,M6PR
VPS53,VPS50
VPS53,STX16
VPS53,VTI1A
VPS53,TGOLN2
NFKBIA,LPAR2
NFKBIA,PSMD11
ARID4B,HIST2H3A
ARID4B,HIST1H2BJ
ARID4B,RBBP7
ARID4B,HIST3H2A
RANGAP1,NUP153
RANGAP1,NUP35
RANGAP1,KPNA2
RANGAP1,NDEL1
RANGAP1,NUP188
RANGAP1,PAFAH1B1
RLIM,KLHL20
RLIM,UBOX5
RLIM,UBE2M
RLIM,UNKL
RLIM,TRIM32
RLIM,UBE2L3
RLIM,DZIP3
RLIM,UBR1
RLIM,ASB16
RLIM,ITCH
RLIM,UBE2O
RLIM,ASB1
RLIM,UBE3B
UBR1,KLHL20
UBR1,UBOX5
UBR1,UBE2M
UBR1,ASB1
UBR1,DZIP3
UBR1,ASB16
UBR1,ITCH
UBR1,UBE2O
UBR1,UNKL
UBR1,UBE2L3
UBR1,UBE3B
SGMS1,JAK1
SGMS1,UGCG
HNRNPR,PAPOLA
HNRNPR,DDX5
HNRNPR,HSPA8
HNRNPR,SUGP1
HNRNPR,HNRNPM
HNRNPR,DDX46
HNRNPR,PCBP2
HNRNPR,SRSF2
HNRNPR,PRPF4
HNRNPR,ELAVL1
HNRNPR,PLRG1
CRY2,CLOCK
CRY2,NPAS2
TBL1XR1,KAT2B
TBL1XR1,HIST1H2BJ
TBL1XR1,HIST3H2A
TBL1XR1,ABCA1
TBL1XR1,HIST2H3A
TBL1XR1,TCF7L2
CXCL8,GNB5
CXCL8,VEGFA
CXCL8,HIST2H3A
CXCL8,GABBR1
CXCL8,TCF7L2
CXCL8,LPAR2
VTI1A,M6PR
VTI1A,STX16
VTI1A,TGOLN2
DDX5,PAPOLA
DDX5,HSPA8
DDX5,PCBP2
DDX5,HNRNPM
DDX5,SRSF2
DDX5,PLRG1
DDX5,PRPF4
DDX5,DDX46
DDX5,ELAVL1
DDX5,SUGP1
DNM1L,MFN2
SIK1,STK11
NDEL1,PAFAH1B1
OCRL,M6PR
OCRL,WASL
OCRL,HSPA8
OCRL,HIP1
OCRL,PIP4K2C
OCRL,RAB5B
OCRL,AP1G1
OCRL,PIP4K2A
OCRL,SNX9
OCRL,LDLR
OCRL,TGOLN2
OCRL,AP2A2
HMGB1,NR3C1
HMGB1,IRF1
HMGB1,KAT2B
HMGB1,HMGB2
HMGB1,IRAK4
POLR3F,NFIB
POLR3F,NME6
POLR3F,ITPA
NUP188,NUP153
NUP188,NUP35
NUP188,DDX39B
SMAD4,HSPA8
SMAD4,NR3C1
SMAD4,NUP153
SMAD4,SMAD7
SMAD4,KAT2B
SMAD4,STK11
SMAD4,RBBP7
SMAD4,SKI
SMAD4,BMPR2
TNRC6A,CBX8
TNRC6A,E2F1
TNRC6A,TNRC6B
TNRC6A,PHC3
RORA,CLOCK
RORA,NPAS2
RORA,CPT1A
RPL9,MRPS10
RPL9,SPCS1
RPL9,EIF2S1
RPL9,UPF1
RPL9,RPL30
RPL9,EIF4A2
RPL9,RPL14
RPL9,RPL17
RPL9,ETF1
DDX39B,PAPOLA
DDX39B,NUP153
DDX39B,NUP35
DDX39B,SRSF2
GBF1,KIF23
GBF1,ARCN1
GBF1,SPTBN1
GBF1,DCTN4
RFC3,REV1
RFC3,REV3L
RFC3,GTF2H3
UBOX5,KLHL20
UBOX5,UBE2L3
UBOX5,ANAPC5
UBOX5,ASB16
UBOX5,ITCH
UBOX5,UBE2O
UBOX5,ASB1
UBOX5,UBE2M
UBOX5,UBE3B
IRAK4,TOLLIP
PDE4C,PRKACB
FOXK2,YY1
FOXK2,HIST3H2A
KIF23,DCTN4
KIF23,ARCN1
KIF23,MELK
SRSF2,PAPOLA
SRSF2,HSPA8
SRSF2,SUGP1
SRSF2,NUP153
SRSF2,NUP35
SRSF2,HNRNPM
SRSF2,DDX46
SRSF2,PCBP2
SRSF2,PLRG1
SRSF2,ELAVL1
SRSF2,PRPF4
SRSF2,SRPK1
CLOCK,HIST2H3A
CLOCK,NPAS2
VLDLR,LRPAP1
VLDLR,AP2A2
VLDLR,PAFAH1B1
UBE3B,KLHL20
UBE3B,UBE2M
UBE3B,ANAPC5
UBE3B,ASB1
UBE3B,ASB16
UBE3B,UBE2O
UBE3B,UNKL
UBE3B,UBE2L3
UBE3B,DZIP3
UBE3B,ITCH
CCDC88C,DVL3
HIST2H3A,ANAPC5
HIST2H3A,YY1
HIST2H3A,KAT2B
HIST2H3A,RB1
HIST2H3A,CBX8
HIST2H3A,TADA2B
HIST2H3A,REST
HIST2H3A,KDM3B
HIST2H3A,CBX3
HIST2H3A,HIST1H2BJ
HIST2H3A,HIST3H2A
HIST2H3A,RBBP7
HIST2H3A,NSD2
HIST2H3A,PBRM1
HIST2H3A,TCF7L2
GNAS,PRKAR1A
GNAS,PRKACB
SPTBN1,ARCN1
SPTBN1,DCTN4
SPTBN1,GOLGA2
PIP4K2A,PIP4K2C
SIKE1,MAVS
SUGP1,PAPOLA
SUGP1,HSPA8
SUGP1,PCBP2
SUGP1,ELAVL1
SUGP1,PLRG1
SUGP1,PRPF4
SUGP1,DDX46
ITPA,NME6
PRPF4,PAPOLA
PRPF4,HSPA8
PRPF4,HNRNPM
PRPF4,DDX46
PRPF4,PCBP2
PRPF4,ELAVL1
PRPF4,PLRG1
DNAJB4,HSPA8
UPF1,RPL30
UPF1,RPL14
UPF1,RPL17
UPF1,ETF1
SET,HMGB2
SET,ELAVL1
NUP153,HSPA8
NUP153,KPNA2
NUP153,NUP35
NUP153,NPM1
CBX3,RBBP7
AKR7A2,CREB1
MFN2,VDAC1
FCHO2,WASL
FCHO2,FNBP1L
FCHO2,ARPC2
FCHO2,HIP1
FCHO2,SNX9
FCHO2,TGOLN2
FCHO2,AP2A2
NSD2,RIF1
NSD2,HIST1H2BJ
RB1,UBN1
RB1,E2F1
RB1,RBBP7
E2F1,KAT2B
E2F1,PMAIP1
E2F1,CAV1
E2F1,MCL1
E2F1,RBBP7
CRK,PDGFB
PLRG1,PAPOLA
PLRG1,HSPA8
PLRG1,ISY1
PLRG1,HNRNPM
PLRG1,DDX46
PLRG1,PCBP2
PLRG1,ELAVL1
NPM1,NUP35
NPM1,RBBP7
NPM1,CENPQ
RAPGEF4,PRKAR1A
RAPGEF4,PRKACB
ARHGEF7,PAK6
RPL14,SPCS1
RPL14,EIF2S1
RPL14,RPL30
RPL14,EIF4A2
RPL14,RPL17
RPL14,ETF1
TADA2B,KAT2B
TADA2B,HIST3H2A
TADA2B,TAF6
TADA2B,HIST1H2BJ
LDLR,M6PR
LDLR,WASL
LDLR,HSPA8
LDLR,SNX9
LDLR,TGOLN2
LDLR,LRPAP1
HIST3H2A,KAT2B
HIST3H2A,REST
HIST3H2A,FOXK1
HIST3H2A,MORF4L1
HIST3H2A,HIST1H2BJ
HIST3H2A,RBBP7
RPL30,SPCS1
RPL30,EIF2S1
RPL30,EIF4A2
RPL30,RPL17
RPL30,ETF1
CREB1,CRTC3
CREB1,RPS6KA4
CREB1,PRKAR1A
CREB1,PRKACB
CREB1,VEGFA
SEC16A,TRAPPC10
SEC16A,SEC23A
SMAD7,BMPR2
SMAD7,CAV1
MORF4L1,RBBP7
CEP72,CCP110
ASB16,KLHL20
ASB16,ASB1
ASB16,UNKL
ASB16,ITCH
ASB16,UBE2L3
CBX8,PHC3
