source,target
MRPL49,MRPS10
DDX5,PAPOLA
DDX5,HSPA8
DDX5,PCBP2
DDX5,SF3B2
DDX5,HNRNPM
DDX5,HNRNPR
DDX5,SRSF2
DDX5,PLRG1
DDX5,PRPF4
DDX5,DDX46
DDX5,ELAVL1
DDX5,PUF60
DDX5,SF3B3
DDX5,SUGP1
DDX5,DHX9
DDX5,HNRNPUL1
ZNF770,TRIM28
GNS,M6PR
GNS,HSPA8
GNS,AP1G1
GNS,VAMP7
ASB16,KLHL20
ASB16,UBOX5
ASB16,RLIM
ASB16,SMURF2
ASB16,HUWE1
ASB16,ASB1
ASB16,RPS27A
ASB16,UBR1
ASB16,NEDD4L
ASB16,UNKL
ASB16,RNF19B
ASB16,ITCH
ASB16,LRRC41
ASB16,CDC16
ASB16,UBE3B
ASB16,UBC
ASB16,UBE2L3
ASB16,RNF4
PSMD11,NFKBIA
PSMD11,UBC
PSMD11,ITCH
PSMD11,BAP1
PSMD11,SMURF2
PSMD11,DVL3
PSMD11,RPS27A
PSMD11,ANAPC7
PSMD11,PSMD13
PSMD11,CSNK1A1
PSMD11,SUFU
PSMD11,ANAPC5
PSMD11,CDC16
DUSP8,MAPK1
TNRC6B,KDM6B
TNRC6B,AGO4
TNRC6B,MYC
TNRC6B,TNRC6A
TNRC6B,PHC3
CNOT4,CNOT1
CNOT4,EIF4A2
CNOT4,TNKS1BP1
HNRNPM,PAPOLA
HNRNPM,HSPA8
HNRNPM,SF3B3
HNRNPM,SF3B2
HNRNPM,PCBP2
HNRNPM,PLRG1
HNRNPM,HNRNPR
HNRNPM,PRPF4
HNRNPM,DDX46
HNRNPM,SRSF2
HNRNPM,ELAVL1
HNRNPM,DHX9
HNRNPM,HNRNPUL1
HNRNPM,PUF60
RPL30,SPCS1
RPL30,RPL27
RPL30,EIF2S1
RPL30,TRAM1
RPL30,UPF1
RPL30,EIF4H
RPL30,RPS27A
RPL30,RPL5
RPL30,RPL9
RPL30,RPL14
RPL30,EIF4A2
RPL30,RPL17
RPL30,ETF1
DHX9,PAPOLA
DHX9,HSPA8
DHX9,SUGP1
DHX9,SF3B3
DHX9,SF3B2
DHX9,DDX46
DHX9,PCBP2
DHX9,SRSF2
DHX9,CSDE1
DHX9,PLRG1
DHX9,PRPF4
DHX9,HNRNPR
DHX9,ELAVL1
DHX9,HNRNPUL1
DHX9,PUF60
TNKS1BP1,CNOT1
HSP90AB1,HSPA8
HSP90AB1,HSPA5
HSP90AB1,LIMK1
HSP90AB1,DNAJB4
GAPDH,PGAM1
GAPDH,ACTB
GAPDH,MYC
HIST1H2BD,RIF1
HIST1H2BD,H3F3B
HIST1H2BD,KDM6B
HIST1H2BD,YY1
HIST1H2BD,KAT2B
HIST1H2BD,ARID4B
HIST1H2BD,RB1
HIST1H2BD,RPS27A
HIST1H2BD,REST
HIST1H2BD,HIST2H3A
HIST1H2BD,CENPQ
HIST1H2BD,NSD2
HIST1H2BD,TADA2B
HIST1H2BD,HIST3H2A
HIST1H2BD,TCF7L2
HIST1H2BD,UBC
HIST1H2BD,NPM1
HIST1H2BD,TBL1XR1
HIST1H2BD,HIST1H2BJ
HIST1H2BD,SIN3A
HIST1H2BD,CDC16
HIST1H2BD,SMC1A
HIST1H2BD,AGO4
HIST1H2BD,RPA2
HIST1H2BD,RNF4
HIST1H2BD,RBBP7
HIST1H2BD,CXCL8
RAPGEF4,YWHAZ
RAPGEF4,PRKAR1A
RAPGEF4,PRKACB
GOLGA2,ARCN1
GOLGA2,TRAPPC10
GOLGA2,SEC23A
GOLGA2,SPTBN1
GOLGA2,DCTN1
GOLGA2,SPTAN1
