source,target
BRPF3,AKT1
CHD9,CPT1A
CHD9,GLIPR1
CHD9,CD36
CHD9,SIN3A
CHD9,CYP1A1
CHD9,TXNRD1
DDX10,GNL3L
CCND2,CDKN1B
CCND2,CDK4
CCND2,MYC
CCND2,CCNT2
CCND2,CDK2
CCND2,CTNNB1
CCND2,SP1
CDH13,CDH6
CDH13,CDH2
CDH13,CTNNA1
CDH13,JUP
RNF2,MAPK14
RNF2,PHC2
RNF2,AGO4
RNF2,RING1
CDK4,CDC37
CDK4,CDKN1B
CDK4,MLH1
CDK4,CCNT2
CDK4,MYC
CDK4,SMAD3
CDK4,CDK2
CDK4,SMAD4
CDK4,PBRM1
CDK4,AGO4
CDK4,SMARCE1
SP1,MAPK13
SP1,POLR2C
SP1,FDFT1
SP1,MAPK14
SP1,SMAD2
SP1,PIK3CA
SP1,CCNT2
SP1,CPT1A
SP1,ACOX1
SP1,ITGB5
SP1,FOS
SP1,SMAD4
SP1,MYC
SP1,SMAD3
SP1,INTS10
SP1,AGO4
SP1,NR1H3
SP1,RPRD1A
SP1,INTS8
AXL,PIK3CA
TCF12,MAPK14
TCF12,MEF2A
PRKAR2A,AKAP10
PRKAR2A,RHOA
PRKAR2A,PRKAR1A
PRKAR2A,GNAS
TNPO1,IPO8
TNPO1,EXOSC2
MLH1,CDK2
MLH1,MSH6
MLH1,MSH2
UFL1,BTBD1
UFL1,ASB6
UFL1,CDK5RAP3
UFL1,UBA3
UFL1,KLHL5
UFL1,LTN1
TPD52,CPD
TPD52,RAB5C
TPD52,CLINT1
ALDH9A1,ADH5
ALDH9A1,MYC
JUP,CDH6
JUP,CDH2
JUP,CTNNA1
JUP,RAC1
NCKAP1,DOCK1
NCKAP1,RAC1
NCKAP1,MYO10
SUPT5H,POLR2C
SUPT5H,CCNT2
SUPT5H,RPS20
GNB4,MAPK13
GNB4,MAPK14
GNB4,RHOA
GNB4,GNAS
GNB4,AKT1
GNB4,GNA13
GNB4,PIK3CA
CCNT2,POLR2C
CCNT2,SMAD2
CCNT2,SMAD3
CCNT2,CDK2
CCNT2,SMAD4
CCNT2,INTS10
CCNT2,RPRD1A
CCNT2,INTS8
RAB5C,CPD
RAB5C,CLTC
RAB5C,PACSIN3
RAB5C,IGF2R
RAB5C,TBC1D8B
RAB5C,PICALM
