source,target
HMGA1,MYC
CDKN1B,PSMC4
CDKN1B,MYC
CDKN1B,YWHAG
CDKN1B,AKT3
CDKN1B,FOS
AKT3,GNAI3
EIF3I,EIF2S3
EIF3I,EIF2S1
EIF3I,RPL8
EIF3I,RPS2
EIF3I,EIF3B
EIF3I,RPL12
EIF2S1,EIF2S3
EIF2S1,MYC
EIF2S1,RPS2
EIF2S1,RPS17
EIF2S1,RPL12
EIF2S1,RPL8
EIF2S1,EIF3B
PCNT,HAUS8
SF3B3,SRRM2
SF3B3,HNRNPD
SF3B3,PCBP2
SF3B3,HNRNPH1
SF3B3,SRSF2
AGO2,TNRC6B
AGO2,MYC
AGO2,DICER1
TNRC6B,MYC
MDH2,PKM
RPS17,RPL8
RPS17,RPS2
RPS17,RPL12
EIF2S3,RPS2
EIF2S3,EIF3B
EIF2S3,RPL12
EIF2S3,RPL8
ISG20L2,RPL8
ISG20L2,RPL12
GNAI2,GNAI3
SRSF2,CASC3
SRSF2,SRRM2
SRSF2,HNRNPD
SRSF2,HNRNPH1
SRSF2,PCBP2
PKM,ENO1
FOS,GJA1
FOS,ILK
FOS,MYC
FOS,BCL2L11
SRRM2,CASC3
SRRM2,HNRNPD
SRRM2,PCBP2
SRRM2,HNRNPH1
EXOSC1,RPL8
EXOSC1,RPS2
EXOSC1,RPL12
EXOSC1,EXOSC10
EIF3B,RPL8
EIF3B,RPS2
EIF3B,RPL12
PPP2R2A,RPL8
PPP2R2A,CASC3
PPP2R2A,YWHAG
BCL2L11,BBC3
MYC,ENO1
RPL12,RPL8
RPL12,EEF2
RPL12,RPS2
EEF2,RPL8
EEF2,RPS2
CASC3,RPL8
CASC3,HNRNPH1
CASC3,HNRNPD
RPS2,RPL8
RPS2,EXOSC10
RPL8,EXOSC10
SKIV2L,EXOSC10
HNRNPD,HNRNPH1
HNRNPD,PCBP2
PCBP2,HNRNPH1
YWHAG,HAUS8
