source,target
TNFRSF10B,MAP3K1
TNFRSF10B,CASP8
CLASP1,STAG2
CLASP1,CNTRL
CLASP1,AKAP9
CLASP1,CENPQ
CLASP1,CDC42
CLASP1,SEPT2
CLASP1,SMC1A
CLASP1,CKAP5
DNM1L,CASP8
AGO4,AGO2
AGO4,SP1
AGO4,DICER1
AGO4,E2F1
AGO4,BMI1
AGO4,MYC
AGO4,TNRC6B
BMPR2,SMAD7
BMPR2,SMAD1
BMPR2,ZFYVE16
MAP3K1,CDC42
MAP3K1,SP1
MAP3K1,MAP2K3
MAP3K1,CSNK1A1
MAP3K1,MYD88
MRPS10,RPS7
MED25,NCOA3
MED25,CDK19
ARHGEF12,ERBB2
ARHGEF12,CDC42
TIAM1,EPHA4
TIAM1,CDC42
PHF20,TAF1
PHF20,KANSL3
DUSP8,ATF2
TNRC6B,AGO2
TNRC6B,SP1
TNRC6B,BMI1
TNRC6B,MYC
SGK1,WWP1
CBX4,RB1
CBX4,BMI1
CBX4,BRCA1
CBX4,HNRNPK
BRCA1,STAG2
BRCA1,ATF2
BRCA1,FANCI
BRCA1,UBE2N
BRCA1,SMC1A
BRCA1,MRE11
BRCA1,SYNE2
BRCA1,BMI1
BRCA1,NSD2
PAN3,EIF4A2
COL4A1,CD47
SMAD7,RNF111
SMAD7,ZFYVE16
SMAD7,SMAD1
SMAD7,SP1
SMAD7,WWP1
MYD88,TLR3
MYD88,UBE2N
MYD88,HMGB1
MYD88,PELI1
MYD88,IRAK1
FMR1,AGO2
DMD,TPM1
DMD,CDC42
DMD,PTK2
DMD,UTRN
DMD,SGCB
DUSP10,ATF2
NCOA3,MYC
NCOA3,PBX1
EIF5,EIF2S1
EIF5,RPS7
EIF5,EIF1AX
EIF5,EIF4A2
TAF5,TAF1
TAF5,SP1
TAF5,RPRD2
TAF5,GTF2A1
EIF2S1,MYC
EIF2S1,RPS7
EIF2S1,EIF1AX
EIF2S1,EIF4A2
RPRD2,SP1
RPRD2,GTF2A1
MEF2C,RB1
MEF2C,BNIP2
MEF2C,CDC42
MEF2C,GTF2A1
MEF2C,E2F1
MEF2C,MEF2A
MYC,AGO2
MYC,IREB2
MYC,PPARA
MYC,RB1
MYC,ERBB2
MYC,SP1
MYC,E2F1
MYC,BMI1
TRAF7,STUB1
TRAF7,WWP1
TRAF7,RNF111
TRAF7,UBE2N
TRAF7,FBXL13
TRAF7,UBA1
TRAF7,HECTD1
SLAIN2,CKAP5
SMAD1,ZFYVE16
RPS7,EIF4A2
RPS7,EIF1AX
PER2,PER3
PER2,CLOCK
PER2,ARNTL
RECK,MMP2
CASP8,TLR3
CASP8,CYCS
CLOCK,PPARA
CLOCK,PER3
CLOCK,ARNTL
STARD13,CDC42
VEGFA,MMP2
VEGFA,IGF1R
VEGFA,ERBB2
VEGFA,PTK2
VEGFA,FAM3C
SYNE2,STAG2
SYNE2,SMC1A
BNIP2,MEF2A
BNIP2,CDC42
CNTRL,AKAP9
CNTRL,CKAP5
CNTRL,SEPT2
PER3,ARNTL
SF1,PCBP1
SF1,DDX46
SF1,HNRNPH1
SF1,SRSF11
SF1,HNRNPK
PARP1,RNF111
PARP1,UBE2N
PARP1,MRE11
GTF2A1,ATF2
GTF2A1,TAF1
GTF2A1,SP1
GTF2A1,HMGB1
DTX3L,RNF111
DTX3L,UBA1
DTX3L,HECTD1
DTX3L,KBTBD7
DTX3L,UBE2N
SERPINB5,ATF2
COX20,CYCS
CYCS,UQCRB
KBTBD6,KBTBD7
ATF2,MMP2
ATF2,HMGB1
ATF2,RB1
ERBB2,STUB1
ERBB2,CDC42
ERBB2,PTK2
UBE2N,STUB1
UBE2N,WWP1
UBE2N,RNF111
UBE2N,TLR3
UBE2N,MRE11
UBE2N,HECTD1
UBE2N,SOCS1
UBE2N,PELI1
UBE2N,NSD2
UBE2N,IRAK1
UBE2N,UBA1
STAG2,CENPQ
STAG2,CKAP5
STAG2,NIPBL
STAG2,SMC1A
CKAP5,CDC42
CKAP5,SMC1A
CKAP5,CENPQ
CKAP5,AKAP9
CKAP5,SEPT2
WWP1,STUB1
WWP1,KBTBD7
WWP1,HECTD1
WWP1,RNF111
WWP1,FBXL13
WWP1,UBA1
MEF2A,CDC42
ENAH,CDC42
CENPQ,SMC1A
RB1,PPARA
RB1,ORC4
RB1,E2F1
RB1,TAF1
RB1,PRIM1
RB1,SP1
SOCS1,STUB1
SOCS1,RNF111
SOCS1,UBA1
PELI1,IRAK1
PLD1,CDC42
IGF1R,PTK2
IRAK1,MAP2K3
MAP2K3,CDC42
UTRN,SP1
UTRN,PTK2
PRIM1,ORC4
SRSF11,THOC2
SRSF11,DDX46
SRSF11,HNRNPH1
SRSF11,HNRNPK
PPARA,ARNTL
PPARA,SP1
NSD2,MRE11
HNRNPH1,PCBP1
HNRNPH1,DDX46
HNRNPH1,HNRNPK
AKAP9,SEPT2
PTK2,CDC42
PTK2,CD47
DDX46,PCBP1
DDX46,HNRNPK
MYO9A,CDC42
E2F1,AGO2
E2F1,SP1
EIF4A2,EIF1AX
AGO2,DICER1
AGO2,TSNAX
BMI1,HNRNPK
KBTBD7,RNF111
KBTBD7,FBXL13
KBTBD7,HECTD1
CDC42,CSNK1A1
CDC42,SEPT2
HNRNPK,PCBP1
MRE11,SMC1A
SMC1A,NIPBL
UBA1,STUB1
UBA1,RNF111
UBA1,HECTD1
RNF111,STUB1
RNF111,FBXL13
RNF111,HECTD1
STUB1,HECTD1
HECTD1,FBXL13
