miR;path
miR-133a-;R-HSA-9020591
miR-133a-;R-HSA-447115
miR-133a-;R-HSA-9006934
miR-199a-3p;R-HSA-8875513
miR-199a-3p;R-HSA-8865999
miR-199a-3p;R-HSA-8875791
miR-199a-3p;R-HSA-6785807
miR-199a-3p;R-HSA-6806942
miR-199a-3p;R-HSA-8851907
miR-199a-3p;R-HSA-8875656
miR-199a-3p;R-HSA-450341
miR-199a-3p;R-HSA-8875555
miR-199a-3p;R-HSA-6811558
miR-199a-3p;R-HSA-199418
miR-199a-3p;R-HSA-1234158
miR-199a-3p;R-HSA-449147
miR-199a-3p;R-HSA-109606
miR-199a-3p;R-HSA-8851805
miR-199a-3p;R-HSA-8866910
miR-199a-3p;R-HSA-6807004
miR-199a-3p;R-HSA-8874081
miR-199a-3p;R-HSA-450282
miR-199a-3p;R-HSA-9634638
miR-199a-3p;R-HSA-9022699
miR-199a-3p;R-HSA-114452
miR-199a-3p;R-HSA-8875878
miR-199a-3p;R-HSA-194138
miR-199a-3p;R-HSA-6806834
miR-199a-3p;R-HSA-450294
miR-199a-3p;R-HSA-1257604
miR-199a-3p;R-HSA-448424
miR-199a-3p;R-HSA-9006925
miR-199a-3p;R-HSA-975138
miR-199a-3p;R-HSA-975871
miR-199a-3p;R-HSA-937061
miR-199a-3p;R-HSA-168142
miR-199a-3p;R-HSA-168176
miR-199a-3p;R-HSA-166166
miR-199a-3p;R-HSA-9006934
miR-199a-3p;R-HSA-168164
miR-199a-3p;R-HSA-975155
miR-199a-3p;R-HSA-168181
miR-199a-3p;R-HSA-168138
miR-199a-3p;R-HSA-76002
miR-199a-3p;R-HSA-1234174
miR-199a-3p;R-HSA-8864260
miR-199a-3p;R-HSA-109581
miR-199a-3p;R-HSA-8986944
miR-199a-3p;R-HSA-1280215
miR-199a-3p;R-HSA-5357801
miR-93-;R-HSA-2173795
miR-93-;R-HSA-2173793
miR-93-;R-HSA-8856828
miR-93-;R-HSA-2559582
miR-93-;R-HSA-2173789
miR-93-;R-HSA-174048
miR-93-;R-HSA-179409
miR-93-;R-HSA-5656121
miR-93-;R-HSA-5655862
miR-93-;R-HSA-2173796
miR-93-;R-HSA-110320
miR-93-;R-HSA-5689901
miR-93-;R-HSA-110312
miR-93-;R-HSA-5663213
miR-93-;R-HSA-5696394
miR-93-;R-HSA-983168
miR-93-;R-HSA-432722
miR-93-;R-HSA-2122947
miR-93-;R-HSA-170834
miR-93-;R-HSA-9613829
miR-93-;R-HSA-1253288
miR-93-;R-HSA-9006936
miR-93-;R-HSA-199992
miR-93-;R-HSA-8948747
miR-93-;R-HSA-4411364
miR-93-;R-HSA-2173788
miR-93-;R-HSA-8951430
miR-93-;R-HSA-936440
miR-93-;R-HSA-2559580
miR-93-;R-HSA-2559583
miR-93-;R-HSA-2559585
miR-93-;R-HSA-1295596
miR-93-;R-HSA-9616222
miR-497-;R-HSA-426496
miR-497-;R-HSA-426486
miR-497-;R-HSA-5578749
miR-497-;R-HSA-72163
miR-497-;R-HSA-72203
miR-497-;R-HSA-2173796
miR-497-;R-HSA-2173793
miR-497-;R-HSA-2173788
miR-497-;R-HSA-170834
miR-497-;R-HSA-2173789
miR-497-;R-HSA-203927
miR-497-;R-HSA-211000
miR-497-;R-HSA-450294
miR-497-;R-HSA-8948700
miR-497-;R-HSA-450321
miR-497-;R-HSA-72165
miR-497-;R-HSA-72172
miR-497-;R-HSA-9006936
miR-497-;R-HSA-1912408
miR-497-;R-HSA-912446
miR-497-;R-HSA-5625740
miR-497-;R-HSA-169893
miR-497-;R-HSA-5684264
miR-497-;R-HSA-9018519
miR-497-;R-HSA-2559580
miR-497-;R-HSA-448424
miR-497-;R-HSA-975138
miR-497-;R-HSA-975155
miR-497-;R-HSA-975871
miR-497-;R-HSA-168142
miR-497-;R-HSA-168176
miR-497-;R-HSA-168181
miR-497-;R-HSA-168164
miR-497-;R-HSA-5250924
miR-497-;R-HSA-73772
miR-497-;R-HSA-937061
miR-497-;R-HSA-166166
miR-497-;R-HSA-168138
