miR,target
miR-93-5p,MAPK1
miR-93-5p,UBC
miR-93-5p,SMAD4
miR-93-5p,RPS27A
miR-93-5p,MYC
miR-222-3p,MYC
miR-29a-3p,MYC
miR-451a,MAPK1
miR-451a,MYC
miR-21-5p,SMAD7
miR-21-5p,STUB1
miR-21-5p,SP1
miR-21-5p,MYC
miR-21-5p,RNF111
miR-19b-3p,RNF111
miR-19b-3p,MAPK1
miR-19b-3p,SMAD4
miR-19b-3p,CCNT2
miR-155-5p,RHOA
miR-155-5p,XPO1
miR-155-5p,SMAD4
miR-155-5p,SP1
miR-155-5p,CCNT2
miR-155-5p,MYC
miR-155-5p,SMAD3
miR-221-3p,RHOA
miR-221-3p,UBC
