miR,target
miR-1-3p,CPSF3
miR-1-3p,CDK4
miR-1-3p,SRSF4
miR-1-3p,SRSF7
miR-1-3p,SMARCC1
miR-1-3p,NUP50
miR-1-3p,MRE11
miR-1-3p,HIST2H2AC
miR-1-3p,HIST3H3
miR-1-3p,SRSF9
miR-1-3p,HIST2H3A
miR-1-3p,LMNB1
miR-1-3p,SRSF6
miR-1-3p,SRRM1
miR-1-3p,UBE2I
miR-1-3p,SMARCA2
miR-497-5p,HIST2H2BE
miR-497-5p,CDK4
miR-497-5p,NUP50
miR-497-5p,HIST2H3A
miR-497-5p,EIF4E
miR-497-5p,SRSF1
