miR,target
miR-1-3p,CDK4
miR-1-3p,HIST2H2AC
miR-1-3p,HIST2H3A
miR-1-3p,PIK3CA
miR-1-3p,MET
miR-497-5p,HIST2H2BE
miR-497-5p,HIST2H3A
miR-497-5p,CDK4
miR-199a-3p,MAPK1
miR-199a-3p,HGF
miR-199a-3p,MAPK8
miR-199a-3p,MET
